,ts,temp,new_point
161,2023-03-08T10:30:00+04:00 Dubai,24.27035140991211°C,48.55%
162,2023-03-08T10:35:00+04:00 Dubai,24.27035140991211°C,48.55%
163,2023-03-08T10:40:00+04:00 Dubai,24.27035140991211°C,48.55%
164,2023-03-08T10:45:00+04:00 Dubai,24.27035140991211°C,48.55%
165,2023-03-08T10:50:00+04:00 Dubai,24.27035140991211°C,48.55%
166,2023-03-08T10:55:00+04:00 Dubai,24.27035140991211°C,48.55%
167,2023-03-08T11:00:00+04:00 Dubai,24.4200382232666°C,48.55%
168,2023-03-08T11:05:00+04:00 Dubai,24.4200382232666°C,48.55%
169,2023-03-08T11:10:00+04:00 Dubai,24.4200382232666°C,48.55%
170,2023-03-08T11:15:00+04:00 Dubai,24.4200382232666°C,48.55%
171,2023-03-08T11:20:00+04:00 Dubai,24.4200382232666°C,48.55%
172,2023-03-08T11:25:00+04:00 Dubai,24.4200382232666°C,48.55%
173,2023-03-08T11:30:00+04:00 Dubai,24.4200382232666°C,48.55%
174,2023-03-08T11:35:00+04:00 Dubai,24.4200382232666°C,48.55%
175,2023-03-08T11:40:00+04:00 Dubai,24.4200382232666°C,48.55%
176,2023-03-08T11:45:00+04:00 Dubai,24.4200382232666°C,48.55%
177,2023-03-08T11:50:00+04:00 Dubai,24.271451950073242°C,48.55%
178,2023-03-08T11:55:00+04:00 Dubai,24.271451950073242°C,48.55%
179,2023-03-08T12:00:00+04:00 Dubai,24.271451950073242°C,48.55%
180,2023-03-08T12:05:00+04:00 Dubai,24.271451950073242°C,48.55%
181,2023-03-08T12:10:00+04:00 Dubai,24.271451950073242°C,48.55%
182,2023-03-08T12:15:00+04:00 Dubai,24.271451950073242°C,48.55%
183,2023-03-08T12:20:00+04:00 Dubai,24.271451950073242°C,48.55%
184,2023-03-08T12:25:00+04:00 Dubai,24.122512817382812°C,47.52%
185,2023-03-08T12:30:00+04:00 Dubai,24.122512817382812°C,46.49%
186,2023-03-08T12:35:00+04:00 Dubai,24.122512817382812°C,46.49%
187,2023-03-08T12:40:00+04:00 Dubai,24.122512817382812°C,46.49%
188,2023-03-08T12:45:00+04:00 Dubai,24.122512817382812°C,46.49%
189,2023-03-08T12:50:00+04:00 Dubai,24.122512817382812°C,46.49%
190,2023-03-08T12:55:00+04:00 Dubai,24.122512817382812°C,46.49%
191,2023-03-08T13:00:00+04:00 Dubai,24.27130126953125°C,46.49%
192,2023-03-08T13:05:00+04:00 Dubai,24.27130126953125°C,46.49%
193,2023-03-08T13:10:00+04:00 Dubai,24.27130126953125°C,46.49%
194,2023-03-08T13:15:00+04:00 Dubai,24.27130126953125°C,46.49%
195,2023-03-08T13:20:00+04:00 Dubai,24.27130126953125°C,46.49%
196,2023-03-08T13:25:00+04:00 Dubai,24.27130126953125°C,46.49%
197,2023-03-08T13:30:00+04:00 Dubai,24.27130126953125°C,46.49%
198,2023-03-08T13:35:00+04:00 Dubai,24.27130126953125°C,46.49%
199,2023-03-08T13:40:00+04:00 Dubai,24.27130126953125°C,46.49%
200,2023-03-08T13:45:00+04:00 Dubai,24.27130126953125°C,46.49%
201,2023-03-08T13:50:00+04:00 Dubai,24.27130126953125°C,46.49%
202,2023-03-08T13:55:00+04:00 Dubai,24.27130126953125°C,46.49%
203,2023-03-08T14:00:00+04:00 Dubai,24.27130126953125°C,46.49%
204,2023-03-08T14:05:00+04:00 Dubai,24.421180725097656°C,46.49%
205,2023-03-08T14:10:00+04:00 Dubai,24.421180725097656°C,46.49%
206,2023-03-08T14:15:00+04:00 Dubai,24.421180725097656°C,46.49%
207,2023-03-08T14:20:00+04:00 Dubai,24.421180725097656°C,46.49%
208,2023-03-08T14:25:00+04:00 Dubai,24.421180725097656°C,46.49%
209,2023-03-08T14:30:00+04:00 Dubai,24.421180725097656°C,46.49%
210,2023-03-08T14:35:00+04:00 Dubai,24.421180725097656°C,46.49%
211,2023-03-08T14:40:00+04:00 Dubai,24.421180725097656°C,45.34%
212,2023-03-08T14:45:00+04:00 Dubai,24.421180725097656°C,44.11%
213,2023-03-08T14:50:00+04:00 Dubai,24.421180725097656°C,44.11%
214,2023-03-08T14:55:00+04:00 Dubai,24.421180725097656°C,43.10%
215,2023-03-08T15:00:00+04:00 Dubai,24.421180725097656°C,43.52%
216,2023-03-08T15:05:00+04:00 Dubai,24.421180725097656°C,43.52%
217,2023-03-08T15:10:00+04:00 Dubai,24.421180725097656°C,43.52%
218,2023-03-08T15:15:00+04:00 Dubai,24.421180725097656°C,43.52%
219,2023-03-08T15:20:00+04:00 Dubai,24.421180725097656°C,43.52%
220,2023-03-08T15:25:00+04:00 Dubai,24.421180725097656°C,42.35%
221,2023-03-08T15:30:00+04:00 Dubai,24.421180725097656°C,42.35%
222,2023-03-08T15:35:00+04:00 Dubai,24.421180725097656°C,42.35%
