ds,y,y
08/03/2023 19:30,23.82451439,23.83199012
08/03/2023 19:35,23.82451439,23.82412808
08/03/2023 19:40,23.82451439,23.8168764
08/03/2023 19:45,23.82451439,23.81024772
08/03/2023 19:50,23.67513466,23.80425109
08/03/2023 19:55,23.67513466,23.798892
08/03/2023 20:00,23.67513466,23.79417235
08/03/2023 20:05,23.67513466,23.79009049
08/03/2023 20:10,23.67513466,23.78664128
08/03/2023 20:15,23.67513466,23.78381616
08/03/2023 20:20,23.67513466,23.78160326
08/03/2023 20:25,23.67513466,23.77998751
08/03/2023 20:30,23.67513466,23.77895078
08/03/2023 20:35,23.67513466,23.77847205
08/03/2023 20:40,23.67513466,23.77852759
08/03/2023 20:45,23.67513466,23.77909116
08/03/2023 20:50,23.67513466,23.78013419
08/03/2023 20:55,23.67513466,23.78162608
08/03/2023 21:00,23.67513466,23.78353434
08/03/2023 21:05,23.67513466,23.78582494
08/03/2023 21:10,23.67513466,23.78846248
08/03/2023 21:15,23.67513466,23.79141051
08/03/2023 21:20,23.67513466,23.79463178
08/03/2023 21:25,23.67513466,23.79808849
08/03/2023 21:30,23.67513466,23.8017426
08/03/2023 21:35,23.67513466,23.80555607
08/03/2023 21:40,23.67513466,23.80949111
08/03/2023 21:45,23.67513466,23.81351051
08/03/2023 21:50,23.67513466,23.8175778
08/03/2023 21:55,23.67513466,23.82165756
08/03/2023 22:00,23.67513466,23.82571563
08/03/2023 22:05,23.67513466,23.8297193
08/03/2023 22:10,23.67513466,23.83363759
08/03/2023 22:15,23.67513466,23.83744134
08/03/2023 22:20,23.67513466,23.84110349
08/03/2023 22:25,23.67513466,23.84459912
08/03/2023 22:30,23.67513466,23.8479057
08/03/2023 22:35,23.67513466,23.85100312
08/03/2023 22:40,23.82404709,23.85387382
08/03/2023 22:45,23.82404709,23.85650286
08/03/2023 22:50,23.82404709,23.85887797
08/03/2023 22:55,23.82404709,23.8609896
08/03/2023 23:00,23.82404709,23.86283087
08/03/2023 23:05,23.82404709,23.86439764
08/03/2023 23:10,23.82404709,23.8656884
08/03/2023 23:15,23.82404709,23.86670428
08/03/2023 23:20,23.82404709,23.86744892
08/03/2023 23:25,23.82404709,23.86792841
08/03/2023 23:30,23.82404709,23.86815114
08/03/2023 23:35,23.82404709,23.86812774
08/03/2023 23:40,23.82404709,23.86787085
08/03/2023 23:45,23.82404709,23.86739501
08/03/2023 23:50,23.82404709,23.86671648
08/03/2023 23:55,23.82404709,23.86585301
09/03/2023 0:00,23.82404709,23.86482373
09/03/2023 0:05,23.82404709,23.86364885
09/03/2023 0:10,23.82404709,23.86234949
09/03/2023 0:15,23.82404709,23.8609475
09/03/2023 0:20,23.82404709,23.85946515
09/03/2023 0:25,23.82404709,23.85792498
09/03/2023 0:30,23.82404709,23.85634958
09/03/2023 0:35,23.82404709,23.85476131
09/03/2023 0:40,23.82404709,23.85318214
09/03/2023 0:45,23.82404709,23.85163343
09/03/2023 0:50,23.82404709,23.85013572
09/03/2023 0:55,23.82404709,23.84870852
09/03/2023 1:00,23.82404709,23.84737019
09/03/2023 1:05,23.82404709,23.8461377
09/03/2023 1:10,23.82404709,23.84502653
09/03/2023 1:15,23.82404709,23.84405048
09/03/2023 1:20,23.82404709,23.84322161
09/03/2023 1:25,23.82404709,23.84255007
09/03/2023 1:30,23.82404709,23.84204405
09/03/2023 1:35,23.82404709,23.84170972
09/03/2023 1:40,23.82404709,23.84155113
09/03/2023 1:45,23.82404709,23.84157024
09/03/2023 1:50,23.82404709,23.84176687
09/03/2023 1:55,23.82404709,23.8421387
09/03/2023 2:00,23.82404709,23.84268135
09/03/2023 2:05,23.82404709,23.84338839
09/03/2023 2:10,23.82404709,23.84425141
09/03/2023 2:15,23.82404709,23.84526011
09/03/2023 2:20,23.82404709,23.84640244
09/03/2023 2:25,23.82404709,23.84766464
09/03/2023 2:30,23.82404709,23.84903148
09/03/2023 2:35,23.82404709,23.85048631
09/03/2023 2:40,23.82404709,23.85201132
09/03/2023 2:45,23.82404709,23.85358764
09/03/2023 2:50,23.82404709,23.8551956
09/03/2023 2:55,23.82404709,23.85681485
09/03/2023 3:00,23.82404709,23.85842463
09/03/2023 3:05,23.82404709,23.86000396
