ts,DMC Building 1 Data Quality Tests Dup of AHU_04_B1 Return Air Temp
2023-03-08T18:00:00+04:00 Dubai,24.272642135620117°C
2023-03-08T18:05:00+04:00 Dubai,24.12392807006836°C
2023-03-08T18:10:00+04:00 Dubai,24.12392807006836°C
2023-03-08T18:15:00+04:00 Dubai,24.12392807006836°C
2023-03-08T18:20:00+04:00 Dubai,23.973649978637695°C
2023-03-08T18:25:00+04:00 Dubai,23.973649978637695°C
2023-03-08T18:30:00+04:00 Dubai,23.973649978637695°C
2023-03-08T18:35:00+04:00 Dubai,23.973649978637695°C
2023-03-08T18:40:00+04:00 Dubai,23.973649978637695°C
2023-03-08T18:45:00+04:00 Dubai,23.973649978637695°C
2023-03-08T18:50:00+04:00 Dubai,23.973649978637695°C
2023-03-08T18:55:00+04:00 Dubai,23.973649978637695°C
2023-03-08T19:00:00+04:00 Dubai,23.973649978637695°C
2023-03-08T19:05:00+04:00 Dubai,23.973649978637695°C
2023-03-08T19:10:00+04:00 Dubai,23.824514389038086°C
2023-03-08T19:15:00+04:00 Dubai,23.824514389038086°C
2023-03-08T19:20:00+04:00 Dubai,23.824514389038086°C
2023-03-08T19:25:00+04:00 Dubai,23.824514389038086°C
2023-03-08T19:30:00+04:00 Dubai,23.824514389038086°C
2023-03-08T19:35:00+04:00 Dubai,23.824514389038086°C
2023-03-08T19:40:00+04:00 Dubai,23.824514389038086°C
2023-03-08T19:45:00+04:00 Dubai,23.824514389038086°C
2023-03-08T19:50:00+04:00 Dubai,23.675134658813477°C
2023-03-08T19:55:00+04:00 Dubai,23.675134658813477°C
2023-03-08T20:00:00+04:00 Dubai,23.675134658813477°C
2023-03-08T20:05:00+04:00 Dubai,23.675134658813477°C
2023-03-08T20:10:00+04:00 Dubai,23.675134658813477°C
2023-03-08T20:15:00+04:00 Dubai,23.675134658813477°C
2023-03-08T20:20:00+04:00 Dubai,23.675134658813477°C
2023-03-08T20:25:00+04:00 Dubai,23.675134658813477°C
2023-03-08T20:30:00+04:00 Dubai,23.675134658813477°C
2023-03-08T20:35:00+04:00 Dubai,23.675134658813477°C
2023-03-08T20:40:00+04:00 Dubai,23.675134658813477°C
2023-03-08T20:45:00+04:00 Dubai,23.675134658813477°C
2023-03-08T20:50:00+04:00 Dubai,23.675134658813477°C
2023-03-08T20:55:00+04:00 Dubai,23.675134658813477°C
2023-03-08T21:00:00+04:00 Dubai,23.675134658813477°C
